Nuovo,Categoria,Data_Aggiunta,Copertina,Titolo,Autore,Editore,Descrizione,Link
True,Bestseller,2026-03-29,https://covers1.booksamillion.com/covers/bam/1/79/723/083/1797230832_w.jpg,Pizza Practice (Hardcover),Tara Jensen,Chronicle Books,"From acclaimed baker Tara Jensen: The definitive primer on baking pizza dough, with brilliant color photos, illustrations, and easy-to-follow recipe layouts. Pizza dough is a gateway for many home bread bakers, allowing them to experiment with different tools, toppings, ingredients, timings, and shapes. This companion guides you step by step from the simplest doughs to artisanal bakes. Here are 89 recipes any baker can perfect, with simple cook-along layouts and ways to explore different ingredients, techniques, flours, and heat sources for perfecting pizza, pita, and focaccia. Bright and visually rich, with more than 60 color photographs, this baking book provides expert guidance on how to: Set up your baking space with the right ingredients and tools Cook over fire or with an outdoor oven, or trick out the oven that came with your apartment to bake an impressive pie Learn the perfect ratios of toppings to crust Build classics such as Margherita , Clam , and Pepperoni pizzas, as well as a collection of fancifully delicious takes, including Breakfast pizza ; Delicata Squash, Shallot, and Gruyere ; and a particularly luscious Pancetta and Brown Butter Pineapple pie Craft a foolproof focaccia Discover all you need to know to make pita with kids And much more No book on pizza is complete without simple sauces, dips, and drizzles, such as Lemony Roasted Garlic Cream , Hot Honey , and a simple, fresh Uncooked Tomato Sauce . For after your pizza, Jensen offers dessert: homemade ice cream , cobblers , brownies , simple chocolate chip cookies , and a classic yellow birthday cake with chocolate frosting . The first pizza bible written by a woman and one of the preeminent bread bakers in the US, Pizza Practice offers a new approach and everything you need to bake your best pizzas. ACCESSIBLE RECIPES FOR ALL SKILL LEVELS: These are baking recipes that meet you where you are, with the equipment in your kitchen. Step-by-step instructions, timelines, and photography for all the phases of the dough-making process, as well as folding, shaping, stretching, and baking, make this pizza cookbook indispensable for all home cooks. TO YEAST OR NOT TO YEAST: Many baking books are emphatic in their approach to sourdough, resisting the addition of commercial yeast. Jensen's dough uses both commercial and instant yeast--each alone or in combination--so bakers can experiment and know what makes the dough of their dreams. EXPERT AUTHOR: Tara Jensen is one of the country's most acclaimed bread bakers, instructors, and trusted bread baking cookbook authors. Flour Power was named one of the Washington Post 's top 10 cookbooks of 2022. Her breads, pizzas, pies, and pastry have been featured in Bon App tit and Food & Wine , and she was named one of Southern Living 's chefs of the year in 2021. She runs her first pizzeria, Dough Baby, in Loudon County, Virginia, and posts daily musings on life and baking to her eager followers on Instagram @bakerhands.Perfect for: Pizza and bread lovers Home cooks of all levels eager to make their own pizza, pita, or focaccia New and experienced bread bakers looking to hone their craft Gift-giving for birthday, holiday, or housewarming Fans and followers of Tara Jensen",https://www.booksamillion.com/p/Pizza-Practice/Tara-Jensen/9781797230832
True,Bestseller,2026-03-29,https://covers2.booksamillion.com/covers/bam/1/57/715/641/1577156412_w.jpg,Asian Smoke (Hardcover),Andrew Ho,Harvard Common Press,"Make your barbecue more exciting, colorful, flavorful, and adventuresome than you ever imagined possible by mastering the amazing smoke-kissed recipes in Asian Smoke. Who would have guessed that an unassuming mid-size pink stucco restaurant in San Antonio, Texas, would become one of the most celebrated citadels of barbecue in the US, and even in the world, less than five years after it first opened its doors? Yet that is what has happened to Curry Boys BBQ, the brainchild of Andrew Ho, Andrew Samia, and Sean Wen--the Curry Boys-- who, by the by, now have two James Beard Best Chef nominations to their names, alongside dozens of other accolades from leading barbecue experts. Ho, Samia, and Wen use traditional Texas-style barbecue and smoking techniques, and even traditional cuts like brisket and ribs, but they infuse everything with the deeply soulful aromas and flavors of Thai cooking (mostly), and of other Southeast Asian and pan-Asian cuisines (to a lesser extent). The flat-out delectable results draw long lines of fans and spectacular reviews on Yelp and in the food media. In this, their first book, they reveal their secrets for home cooks. The recipes include: Thai-Style BBQ Shrimp with Penang Curry Butter on Toasted Baguette Grilled Thai Sriracha Buffalo Wings Thai Street-Style Smoked and Grilled Chicken Satay Skewers with Peanut Sauce Smoked Brisket and Thai Green Curry with Roasted Cauliflower Smoked Lamb Shank and Thai Massaman Curry with Roasted Carrots and Potatoes Smoked Pork Belly B nh M Thai-Inspired Green Curry Smoked Mushrooms Honey Sriracha Pulled Pork Sandwich with Pickled Green Papaya and Penang Mayo Nam Jim Jaew Party Ribs Smoked Coconut Cheesecake The old barbecue is US Southern and still damn good. The new barbecue is global, full of exciting new flavors. Dip your toes in the latter with this colorful, photo-rich, delectable book as your guide.",https://www.booksamillion.com/p/Asian-Smoke/Andrew-Ho/9781577156413
True,Bestseller,2026-03-29,https://covers4.booksamillion.com/covers/bam/0/80/074/697/080074697X_w.jpg,Courageous Divorce (Paperback),Alisha Roth,Fleming H. Revell Company,"How to Pursue Wholeness After Divorce - Practical, inspiring, and nuanced resource for Christian women - Learn to heal, rebuild, and embrace the abundant life God has for you - From a writer who has walked the road before you After being raised in an evangelical home, graduating from a Christian college, spending three years in training to be a missionary, and giving birth to four daughters, the last thing Alisha Roth expected for her life was a divorce. Yet, in 2020, she found herself signing papers. She felt shattered, shamed, and very, very alone. Despite the high rate of divorce among Christians, many women experiencing it find little support or even sympathy in the church. As a result, a process that is already disorienting, scary, and isolating can feel even more so. In this compassionate book filled with practical help, Alisha walks you through - making the decision to leave - navigating the aftermath of divorce - rebuilding a beautiful, abundant life after everything has changed We were made to thrive, and while divorce is incredibly painful, it is not the end of your life. In fact, divorce can be a chance to find yourself, deepen your faith, and start living a more fulfilling and vibrant life. Let this book guide you on your own journey of doing just that.",https://www.booksamillion.com/p/Courageous-Divorce/Alisha-Roth/9780800746971
True,Bestseller,2026-03-29,https://covers4.booksamillion.com/covers/bam/1/49/308/611/1493086111_w.jpg,Women Who Hike National Parks (Paperback),Heather Balogh Rochfort,Falcon Press Publishing,"A Celebration of Athleticism, Wisdom, and Skill From thru-hikers and founders to authors and social media voices, these inspiring women are shaping the future of the outdoors--one trail at a time. Each profile pairs a favorite national park hike with a personal story of challenge, growth, and purpose. Through candid reflections and practical tips, they offer trail-tested wisdom and life-tested insight for anyone seeking connection, adventure, or inspiration. Set against the backdrop of some of the most iconic landscapes in the world, this book is also a love letter to the national parks that continue to inspire, heal, and unite us. Stunning photography, detailed maps, and honest storytelling invite readers to follow in these women's footsteps--or forge their own way. Inside You'll Find: Personal stories from women making their mark on the outdoor world in unique and modern ways Detailed hike guides with maps, GPS coordinates, mileage, and insider tips Gorgeous full-color photography capturing both the landscapes and the spirit of each hiker Whether you're planning your next national park adventure or looking for a reminder of what you're capable of, Women Who Hike National Parks is a celebration of courage, creativity, and the power of walking your own path--on trails that belong to us all. See Below for the Book's Contributors and Their Associated National Parks: 1. Crystal Carr ANGELS LANDING TRAIL, ZION NATIONAL PARK, UTAH 2. Shilletha Curtis TETON CREST TRAIL, GRAND TETON NATIONAL PARK, WYOMING 3. Lyla Harrod NANKOWEAP TRAIL TO THE GRANARIES, GRAND CANYON NATIONAL PARK, ARIZONA 4. Abbi Hearne FIERY FURNACE AND SURPRISE ARCH, ARCHES NATIONAL PARK, UTAH 5. Clarice Henry-Tracht OLD BIG OAK FLAT TO YOSEMITE FALLS, YOSEMITE NATIONAL PARK, CALIFORNIA 6. Nicole R. Jackson MEDICINE ROOT AND CASTLE TRAIL LOOP, BADLANDS NATIONAL PARK, SOUTH DAKOTA 7. Patrice La Vigne TRIPLE LAKES TRAIL, DENALI NATIONAL PARK, ALASKA 8. Sarah Lamagna BEEHIVE TRAIL, ACADIA NATIONAL PARK, MAINE 9. Jessica Pekari PACIFIC CREST TRAIL, LASSEN VOLCANIC NATIONAL PARK, CALIFORNIA 10. Emily Pennington HIGH SIERRA TRAIL, SEQUOIA NATIONAL PARK, CALIFORNIA 11. Amanda Powell DELICATE ARCH, ARCHES NATIONAL PARK, UTAH 12. Taylor Rabe PEBBLE CREEK TRAIL TO BLISS PASS, YELLOWSTONE NATIONAL PARK, WYOMING 13. Hailey Terry PAINTBRUSH CANYON TO CASCADE CANYON, GRAND TETON NATIONAL PARK, WYOMING 14. Liz ""Snorkel"" Thomas GLEN AULIN CAMP VIA WHITE CASCADE AND TUOLUMNE MEADOWS, YOSEMITE NATIONAL PARK, CALIFORNIA 15. Stacey Todd SOUTH KAIBAB, PHANTOM RANCH, AND BRIGHT ANGEL, GRAND CANYON NATIONAL PARK, ARIZONA 16. Miranda Webster HARVEST SCENE VIA PETE'S MESA ROUTE, CANYONLANDS NATIONAL PARK, UTAH 17. Jacey West VALLEY VIEW OVERLOOK NATURE TRAIL, SAGUARO NATIONAL PARK, ARIZONA",https://www.booksamillion.com/p/Women-Who-Hike-National-Parks/Heather-Balogh-Rochfort/9781493086115
True,Bestseller,2026-03-29,https://covers2.booksamillion.com/covers/bam/0/24/178/342/0241783429_w.jpg,DK Top 10 Greek Islands (Paperback),Dk Travel,DK Publishing (Dorling Kindersley),"With crystal-clear waters, picturesque villages, and legendary historic sites, the Greek islands offer irresistible escapes in abundance and endless sun-dappled days. Make the most of your trip to this Mediterranean paradise with DK Eyewitness Top 10. Planning is a breeze with our simple lists of ten, covering the very best that the Greek Islands have to offer and ensuring that you don't miss a thing. Best of all, the pocket-friendly format is light and easily portable; the perfect companion while out and about. DK Eyewitness Top 10 Greek Islands is your ticket to the trip of a lifetime. Inside DK Eyewitness Top 10 Greek Islands you will find: - Detailed Top 10 lists of the Greek Islands' must-sees including Corfu Old Town, Crete, Temple of Aphaia, and Delos - Easy-to-follow itineraries including ideas for day trips, weekends, and a week's worth of plans to make the most out of each and every day - Expert advice: honest recommendations on the Greek Islands' most interesting areas, with the best places for shopping, eating out, and sightseeing, with top tips on getting ready, getting around, and staying safe - Themed lists including the best outdoor activities, secluded beaches, historic castles, Greek dishes, and much more - Practical tips: Inspiration for different things to enjoy during your trip, including family activities and things to do for free - Detailed maps including a laminated pull-out map of the Greek Islands, plus seven full-color area maps - Covers: Greek Islands Highlights, Corfu Old Town, Rhodes Old Town, Monastery of St John, P tmos, Delos, N a Mon , H os, Pythag reio and Heraion, S mos, Crete, Palace of Knossos, Crete, Temple of Aphaia, gina, vvia, Moments in History, Myths and Legends, Monasteries, Castles, Museums and Galleries, Picturesque Villages, Bays and Beaches, Secluded Beaches, Natural Wonders, Outdoor Activities, Children's Attractions, Nightlife Spots, Greek Dishes, Restaurants, Arts and Crafts, Greek Islands for Free, Festivals and Events, The Ionians, The Cyclades, Crete, The Dodecanese, The Northeast Aegan Islands, The Sporades and Evvia, The Argo-Saronic Islands About DK Eyewitness: At DK Eyewitness, we believe in the power of discovery. DK Eyewitness travel guides have been helping travellers to make the most of their breaks since 1993. We make it easy for you to explore your dream destinations. Filled with expert advice, striking photography and detailed illustrations, our highly visual DK Eyewitness guides will get you closer to your next adventure. We publish guides to more than 200 destinations, from pocket-sized city guides to comprehensive country guides. Named Top Guidebook Series at the 2020 Wanderlust Reader Travel Awards, we know that wherever you go next, your DK Eyewitness travel guides are the perfect companion.",https://www.booksamillion.com/p/DK-Top-Greek-Islands/Dk-Travel/9780241783429
True,Bestseller,2026-03-29,https://covers3.booksamillion.com/covers/bam/1/66/805/299/1668052997_w.jpg,Service Ready (Hardcover),Molly Irani,Scribner Book Company,"Molly Irani, the visionary cofounder of the James Beard Award-winning restaurant Chai Pani, shares her passion for hospitality and story of building a thriving business that puts people first. Growing up with parents who owned a restaurant, Molly understood the power of service but also had a keen understanding of the industry's challenges. When her husband Meherwan wanted to open a restaurant that would serve the Indian street food of his childhood, Molly thought he was nuts. And yet, the couple turned this unlikely dream into a vibrant reality. Chai Pani would eventually win the James Beard Award for Most Outstanding Restaurant in America, and be named one of 50 Favorite Restaurants in America by The New York Times, and one of Southern Living 's 20 Friendliest Places in the South . In Service Ready, Molly takes readers on their inspiring journey to the heights of culinary and professional success. While she and her husband learned their way into running a restaurant, Molly created a groundbreaking work culture with industry-leading retention rates. They have fostered a loyal team and legions of fans, and have since launched multiple Chai Pani locations, the fast-growing spin-off, Botiwalla, and the popular spice business, Spicewalla. Molly shares the ten core principles that have shaped their path, offering essential lessons for any industry. She opens up about the challenges and rewards of being business partners with your life partner and shares how she and Meherwan learned to merge their strengths in order to thrive. Her story celebrates the power of female leadership in a traditionally male-dominated field and is a testament to the essential impact these strengths bring to businesses. As she reflects on navigating a recession, a global pandemic, and the devastating floods in Asheville, she explores resilience, innovation, and how to create a strong culture in any workplace.",https://www.booksamillion.com/p/Service-Ready/Molly-Irani/9781668052990
True,Bestseller,2026-03-29,https://covers4.booksamillion.com/covers/bam/0/52/556/190/0525561900_w.jpg,Seven Sisters (Hardcover),Veronica Buckley,Viking,"A spirited, poignant history of the seven daughters of the great Empress Maria Theresia--including Queen Marie Antoinette of France--bringing their stories to life as they balanced dynastic duty and personal defiance in a time of revolutionary turmoil ""Others make war; you, happy Austria, marry."" This unofficial dictum had kept the Habsburgs at the peak of power for centuries, but by 1764, the dynasty was in a precarious position. After a difficult accession and two lengthy wars, the Empress Maria Theresia faced enormous debts, restive subjects, and shaken political ties. True to Habsburg tradition, she sought the remedy in marriage alliances, and her arsenal was full: her seven daughters Marianna, Marie Christine, Elisabeth, Carolina, Josepha, and Antonia were to serve as her pawns in the ruthless game of eighteenth-century dynastic politicking. Delivered to the grandest or dingiest courts in Europe, they made their difficult and even dangerous way: Marianne the seeker; the grande dame Marie Christine; Elisabeth, the malicious, disfigured beauty; fractious and wayward Amalie of Parma; Caroline of Naples, Napoleon's relentless enemy; the tragic bride Josepha; and Antonia, youngest of the seven, sacrificial offering to the gods of revolution, better known to history as Marie Antoinette. Meticulously researched and animated by the sisters' own memoirs and diaries and the almost daily letters traversing the continent, Seven Sisters reveals the drama and comedy in these exceptional yet all too human lives. It is a vivid portrait of a brilliant world collapsing in a fearful time.",https://www.booksamillion.com/p/Seven-Sisters/Veronica-Buckley/9780525561903
True,Bestseller,2026-03-29,https://covers4.booksamillion.com/covers/bam/0/59/398/050/0593980506_w.jpg,The Birth Book (Paperback),Jennifer Lincoln,Rodale Books,"Essential, empowering medical information and advice to help you prepare for your labor and delivery journey--from a leading OB-GYN and social media educator. ""Your most pressing, and often unspoken, questions about birth, finally answered by a doctor who listens.""--Jen Hamilton, BSN, RN, CEN, RNC-OB, author of Birth Vibes "" The Birth Book covers everything you really need to know about labor and delivery--including all the details you might need on your big day. Read it to ensure you feel more satisfied with your experience.""--Ari Brown, MD, author of Baby 411 Birth is a transformative, remarkable process, but it can also be incredibly daunting and traumatic--especially if you don't have the medically-sound information you need to advocate for yourself. With misinformation rampant on social media and a dearth of trusted medical resources on the birth process, pregnant people feel left behind in a system that is failing them. Thirty-six percent of counties in America are labeled ""maternity care deserts"" where there is no or limited access to obstetric care--and it's only getting worse. We need a concise and comprehensive primer on the birth experience, whether that means a low-intervention birth or a complicated emergency c-section. In The Birth Book , OB-GYN hospitalist and educator Dr. Jennifer Lincoln delivers exactly that. Dr. Lincoln answers all your questions, big and small, about labor and delivery, providing crucial insight and understanding. Questions like: - What is ""normal"" labor? - What can I say no to? - What are my options if baby is breech? - How long does an induction take? - And many, many more. Backed by research and personal experience and including enlightening illustrations, The Birth Book gives you agency over your pregnancy and birth, along with context for the many choices you'll need to make. With Dr. Lincoln's help, readers will have an evidence-based resource at their fingertips for a better, safer, more informed birth.",https://www.booksamillion.com/p/Birth-Book/Jennifer-Lincoln/9780593980507
True,Bestseller,2026-03-29,https://covers2.booksamillion.com/covers/bam/9/79/888/160/9798881602185_w.jpg,Badass Gratitude (Paperback),Becca Anderson,Andrews McMeel Publishing,"From positive-living and affirmation queen Becca Anderson comes an uplifting and entertaining guide to cultivating an attitude of gratitude. Building on Badass Affirmations --Anderson's bestselling collection of inspirational quotes by powerful women-- Badass Gratitude empowers readers to develop positive self-talk, bust bad habits, set clear intentions, and maintain contentment, even in difficult times. Packed with just the right amount of sass, Badass Gratitude offers easy and enjoyable ways to supercharge self-care. Drawing on her deep understanding of self-help and personal growth, Andersen covers topics like shifting your mindset, building a ""manifestation station,"" and busting the bad habits that keep you from attaining your goals. The perfect pick-me-up for yourself, your bestie, your daughter, or your mom, Badass Gratitude harnesses the power of thankfulness to conquer everyday stress and help you live your best, badass life.",https://www.booksamillion.com/p/Badass-Gratitude/Becca-Anderson/9798881602185
True,Bestseller,2026-03-29,https://covers2.booksamillion.com/covers/bam/9/79/821/715/9798217152261_w.jpg,Considering Sparrows (Hardcover),Kevin Burrell,Multnomah Books,"Birds don't just sing--they preach. Pastor and birder Kevin Burrell takes readers on a one-of-a-kind journey of theology, nature, and wonder that reveals God's truth through the lives of birds. The world is loud, life is fast, and wonder is slipping through the cracks. But Jesus gave a simple command-- consider the birds . Pastor and birder Kevin Burrell takes that call literally, weaving together the beauty of creation, the depth of Scripture, and stunning illustrations from artist Aedan Peterson in a way that is insightful and delightfully unexpected. From the Arctic Tern's relentless migration to the Satin Bowerbird's obsessive collection of blue trinkets, Kevin shows us why these feathered creatures illustrate timeless truths found in Philippians. A Western Scrub Jay's funeral echoes Paul's perspective on life and death. An albatross's lifelong commitment mirrors the call to steadfast faith. Even the sparrow--once deemed a pest--reminds us why anxiety has no place in the kingdom of God. This book is more than ornithology. It's more than theology. It's an invitation to slow down, look up, and rediscover the Gospel written in the wings of creation. With wry humor, fascinating science, and rich biblical insight, Considering Sparrows transforms both how we see birds--and how we see God.",https://www.booksamillion.com/p/Considering-Sparrows/Kevin-Burrell/9798217152261
True,Bestseller,2026-03-29,https://covers2.booksamillion.com/covers/bam/1/25/036/312/1250363128_w.jpg,The Information State (Hardcover),Jacob Siegel,Henry Holt & Company,"We're often told that disinformation is everywhere and that it's endangering our democracy. But what if the war on disinformation itself is really just a weapon to squash any and all legitimate dissent? The Information State is an incisive examination of how we reached the point where anything that contradicts the dominant narrative can be labeled dangerous disinformation. Tablet contributor Jacob Siegel charts how the technological infrastructure built to make society safer and more rational has steadily replaced democratic freedoms with systems of digital control. Commercial Internet applications now double as military-grade surveillance and influence tools. Government tech partnerships established after 2001 in response to the global war on terror took on a life of their own and now target Americans. Instead of competing for voters' support, the information state uses censorship, mass surveillance, and algorithmic manipulation to shape public perceptions as it tries to engineer reality. Government officials requested that social media companies boost stories about Donald Trump's alleged connections to Russia, while censoring those about Hunter Biden's laptops, the origins of the COVID-19 virus, and the war in Ukraine. An alliance between government and tech companies formed to wage the war on terror has evolved into an unholy new kind of technocratic state and turned against America's own citizens. Laws signed by President Obama as he left office fused together the media, NGOs, the national security complex, and big tech companies into an unelected ruling party. In short, the information war came home and completely overtook American politics during the hyperpolarization of the Trump era and the isolation of the COVID-19 pandemic. The Information State is an urgent, necessary book that sounds the alarm on where society is headed in the age of AI if we don't relearn how to think for ourselves and ask searching questions about whether information can ever be a substitute for truth.",https://www.booksamillion.com/p/Information-State/Jacob-Siegel/9781250363121
True,Bestseller,2026-03-29,https://covers3.booksamillion.com/covers/bam/0/59/380/164/0593801644_w.jpg,The Scone Queen Bakes (Hardcover),Danielle Sepsy,Knopf Publishing Group,"A collection of one hundred easy and delicious recipes for scones, muffins, cookies, and more--including the top secret recipe for the famous scones that earned her the title the ""Scone Queen""-- from baker extraordinaire and founder of The Hungry Gnome, Danielle Sepsy ""Danielle understands better than most the extraordinary things that can happen with just the right combination of flour, sugar, and butter. Her mastery of baking is a thing of beauty, and tasting her magical creations has proven to be one of the great pleasures I've experienced in the last few years. It's incredibly exciting that so many will get to learn from her through this book."" --Will Guidara, Restaurateur and Author of Unreasonable Hospitality When Danielle Sepsy started baking scones for friends, she had no idea that one day she would have her own successful whole-sale and online bakery, The Hungry Gnome--or that her scones would be sold in hundreds of coffee shops all over the tristate area and celebrated on a hit television show. Here, in her long-awaited first cookbook, The Scone Queen Bakes , Sepsy gives us over 100 delightful recipes for scones, muffins, cookies, bars, breads, snacking cakes and other sweet treats, such as: *Twelve different kinds of Sepsy's famous scones (a scone for every month of the year ), including Funfetti Scones and THE Chocolate Chip Scone (the one that started it all) *Muffins, such as Blueberry Crumb, Double Chocolate, Pumpkin Spice, Raspberry Ricotta and more *Cookies Soft & Chewy Chocolate Chip Cookies, One Toff Cookies, Vegan Cookie Butter Chip Cookies, Strawberries & Cream Cookies, Italian Rainbow Cookies, and more *Three kinds of brownies, Lemon Icebox Bars, S'Mores Blondies, and more *Chocolate Date Tahini Buns, Cinnamon Raisin Bread, and French Toast Monkey Bread *Breads and Cakes such as Banana Nutella Snacking Cake, Cookie Butter Swirled Pumpkin Bread, and a Spumoni Loaf, to name just a few ""I didn't even think I liked scones until I ate one of Danielle's, warm from the oven and studded with molten chocolate chips. Her pastries surprised me over and over again, from the fluffy cinnamon rolls to the perfect pucker of her lemon muffins. Thanks to her cookbook, now I can re-create all her goodies in my own kitchen (when I'm not ordering a big batch from her shop, The Hungry Gnome)."" --Sohla El-Waylly, author of Start Here",https://www.booksamillion.com/p/Scone-Queen-Bakes/Danielle-Sepsy/9780593801642
True,Bestseller,2026-03-29,https://covers4.booksamillion.com/covers/bam/0/59/344/369/0593443691_w.jpg,Chasing Freedom (Hardcover),Simukai Chigudu,Crown Publishing Group (NY),"An exquisitely crafted memoir, sweeping from Zimbabwe to Oxford, that lays bare the violent, enduring legacy of colonialism on both a country and a family Simukai Chigudu grew up in the shadow of Africa's struggles for liberation. As he navigates the tangled threads of personal and political history, he is guided by one central question: What does it mean to be truly free? Chigudu's father fought in a guerilla war against the white supremacist regime of Rhodesia. He met Chigudu's mother while in exile in Uganda. After spending seven years apart, they reunite to build a life in newly independent Zimbabwe, hoping to offer their son the opportunities they never had. Yet Chigudu grows up in a world where colonialism never fully ended. Racism persists: in the elite, white-run prep schools that groom him for life outside of Africa; in the British university where he is the only Black man in his class of 250; and finally as an Oxford professor, where a statue of the man who colonized his homeland--Cecil Rhodes--stands proudly on campus. As Zimbabwe convulses in the aftershocks of empire, facing political turmoil and economic collapse, Chigudu sees a parallel unravelling in his own family. His father, scarred by war, has turned to alcohol; his mother has grown distant and sorrowful. In this gorgeous and atmospheric family memoir, Chigudu embarks on a quest to understand how the trauma of decolonization has shaped not only his country, but his very identity--as an African, a migrant, a Black man, a doctor, a scholar, and a son. What he discovers is that colonization is a potent force that continues to upend lives and institutions. Chasing Freedom is an intimate reckoning with the ghosts of the past that haunt our politics and our psyches in ways we can't always see.",https://www.booksamillion.com/p/Chasing-Freedom/Simukai-Chigudu/9780593443699
True,Bestseller,2026-03-29,https://covers1.booksamillion.com/covers/bam/0/59/365/592/0593655923_w.jpg,When the Going Was Good (Paperback),Graydon Carter,Penguin Books,"One of NPR's and the New York Post 's Best Books of the Year - An Instant New York Times Bestseller From the pages of Spy and Vanity Fair to the red carpets of Hollywood, editor Graydon Carter's memoir revives the glamorous heyday of print magazines when they were at the vanguard of American culture After working at both Time and Life and cofounding Spy, Graydon Carter was offered the editorship of Vanity Fair in 1992. He knew he faced an uphill battle--how to make the esteemed and long-established magazine his own. With curiosity, fearlessness, and a love of recent history and glamour that would come to define his storied career in magazines, Carter succeeded in endearing himself to his editors, contributors, and readers, as well as those who would grace the pages of Vanity Fair . He went on to run the magazine with overwhelming success for the next two and a half decades. When the Going Was Good is Graydon Carter's lively recounting of how he made his mark as one of the most talented editors in the business, further planting a flag in Los Angeles with the legendary Vanity Fair Oscar party. With his inimitable voice and signature quip, he brings readers to lunches and dinners with the great and good of America, Britain, and Europe. He assembled one of the most formidable stables of writers and photographers under one roof, and here he re-creates in real time the steps he took to ensure Vanity Fair cemented its place as the epicenter of art, culture, business, and politics, even as digital media took hold. Charming, candid, and brimming with stories, When the Going Was Good perfectly captures the last golden age of print magazines from the inside out.",https://www.booksamillion.com/p/Going-Was-Good/Graydon-Carter/9780593655924
True,Bestseller,2026-03-29,https://covers4.booksamillion.com/covers/bam/0/59/385/500/0593855000_w.jpg,How to Disagree Better (Hardcover),Julia Minson,Avery Publishing Group,"In this ""brilliant"" (Arthur Brooks) and ""urgent"" (Katy Milkman) book, pioneering Harvard Kennedy School professor and behavioral scientist Julia Minson reveals the counterintuitive secret to a life of less drama and more impact. We are in a disagreement crisis. The average person would rather go to the dentist than have a twenty-minute conversation with someone that they strongly disagree with. Yet disagreement is both inevitable and essential for everything from navigating decisions at home to running innovative and agile companies to governing democratic societies. In How to Disagree Better , Minson brings to bear her decades of research into understanding the psychology of disagreement and its relevance to negotiations, conflict resolution, and decision-making, revealing the hidden skill that all the best mediators and negotiators share: displaying receptiveness to opposing views. The science shows that receptive individuals don't just fight less, they also get more done--they are better decision-makers, better peacemakers, and yes, better influencers than the rest of us. Through original research and case studies, How to Disagree Better will show you why traditional persuasion strategies don't work as well as you think they do, how you can bridge division and reach better outcomes simply by utilizing receptiveness strategies, and that disagreeing better is a skill all of us can learn to apply at home, at work, and with our neighbors.",https://www.booksamillion.com/p/How-Disagree-Better/Julia-Minson/9780593855003
True,Bestseller,2026-03-29,https://covers2.booksamillion.com/covers/bam/1/64/171/683/1641716835_w.jpg,Rick Steves Provence & the French Riviera (Paperback),Rick Steves,Rick Steves,"Stroll breathtaking coastlines, explore Roman ruins, and soak up some sun in the South of France Inside Rick Steves Provence & the French Riviera you'll find: Fully updated, comprehensive coverage for exploring Provence and the Riviera Rick's strategic advice on how to get the most out of your time and money, with rankings of his must-see favorites Top sights and hidden gems , from the Pont du Gard aqueduct and Impressionist masterpieces to charming villages and cozy wineries How to connect with local culture : Relax at a waterfront caf , dive into a bowl of bouillabaisse, and watch fishermen sail back to the harbor Beat the crowds, skip the lines, and avoid tourist traps with Rick's candid, humorous insight The best places to eat, sleep, and relax over a glass of Proven al wine Self-guided walking tours of lively neighborhoods and incredible museums Detailed maps for exploring on the go Over 500 bible-thin pages include everything worth seeing without weighing you down Complete coverage of Arles, Avignon, the C tes du Rh ne, the Luberon, Marseille, Nice, Monaco, Antibes, the Inland Riviera, and more Make the most of every day and every dollar with Rick Steves Provence & the French Riviera . Exploring more? Try Rick Steves France for comprehensive coverage, detailed itineraries, and essential information for planning a countrywide trip.",https://www.booksamillion.com/p/Rick-Steves-Provence-French-Riviera/Rick-Steves/9781641716833
True,Bestseller,2026-03-29,https://covers4.booksamillion.com/covers/bam/9/79/889/057/9798890571915_w.jpg,"Community, Third Edition (Paperback)",Peter Block,Berrett-Koehler Publishers,"This updated bestseller shows leaders how to transform fragmentation into authentic community with new workplace applications and proven strategies for today's divided world. With increasing violence, widening ideological divides, and growing economic inequality, a deeper sense of community is desperately needed. Yet typical ways of engaging people civically and organizationally remain unchanged. In Community , Peter Block explores how authentic community can emerge from fragmentation and offers practical steps to foster transformation. This updated third edition draws on decades of implementing Block's ideas and includes the following: New stories and examples demonstrating community building as a more powerful approach to social problems than traditional policies and programs Expanded resources and a discussion guide designed for classroom and training program use A new closing chapter covering broader implications of the book's ideas for organizational transformation Fresh content exploring the creative economy's relationship to belonging and social capital's role in authentic engagement Updated examples showing how community principles apply to today's workplace and virtual world challenges From neighborhood councils transforming local engagement to organizations shifting from competitive to cooperative cultures, Block demonstrates how simple positive change can be once we decide it's essential. Whether readers are community leaders, organizational consultants, or concerned citizens, this book provides the framework and tools to move from fragmentation to connection, from isolation to belonging.",https://www.booksamillion.com/p/Community-Third/Peter-Block/9798890571915
